id,admissions,entry_gender,perc_free_meals,perc_girls,perc_sec_lang,avg_score
290,comprehensive,mixed,16.1,50.9,8.2,46.6
291,comprehensive,mixed,11.9,49.4,65.7,49.7
292,comprehensive,mixed,16.3,49.5,36.3,53.4
293,comprehensive,mixed,14.5,48.5,78.9,38.1
294,comprehensive,mixed,18.7,47.6,68.7,48.5
295,comprehensive,mixed,8.9,49.6,48.5,56
296,comprehensive,girls,15.8,99.9,42,50.7
297,comprehensive,mixed,18.1,58.6,70.5,43.6
298,comprehensive,mixed,1.6,48.3,8.4,63.3
299,comprehensive,mixed,12.6,45.4,65.3,52.9
300,comprehensive,mixed,17.8,52.4,6.5,58.4
301,comprehensive,mixed,10.3,48.5,8.7,56.2
302,comprehensive,mixed,16.1,49.3,2,50.6
303,comprehensive,mixed,28.1,50,14.6,39.4
304,comprehensive,mixed,11.4,51.1,3.4,56.4
305,comprehensive,mixed,13.9,51.3,1.4,48.3
306,comprehensive,mixed,6.4,47.6,5.1,58.7
307,comprehensive,mixed,15.2,46.3,3.7,46.2
308,comprehensive,mixed,11.3,50.9,2.5,46.5
309,comprehensive,mixed,25.7,47,1.5,49.8
310,comprehensive,mixed,28.6,57.1,0,32.6
311,comprehensive,mixed,10.3,52.1,3.6,52.6
312,comprehensive,mixed,8.5,48.8,4.3,55.8
313,comprehensive,mixed,33.2,47.5,6.6,46.2
314,comprehensive,mixed,4.8,49.8,1.6,56.3
315,comprehensive,mixed,6.3,49,1.2,52.5
316,comprehensive,mixed,32.7,70.9,1.9,34.7
317,comprehensive,mixed,1.9,49.3,6.6,61.1
318,comprehensive,mixed,11.7,49.8,13.8,48.3
319,comprehensive,mixed,6.1,52,2.8,51.1
320,comprehensive,mixed,9.2,54.7,2.1,47.5
321,comprehensive,mixed,4.7,49.5,2.1,52.5
322,comprehensive,mixed,14,45.9,2.2,44.5
323,comprehensive,mixed,22.1,45.1,15.3,43.3
324,comprehensive,mixed,15.6,43.3,14.8,43.4
325,comprehensive,mixed,15,46.2,27,48.8
326,comprehensive,mixed,21.2,50,14.7,40.3
327,comprehensive,mixed,9.5,48.2,3.2,46.4
328,comprehensive,mixed,17.4,49.8,18,42.8
329,comprehensive,mixed,3,51.7,3.1,53.1
330,comprehensive,mixed,18.9,45.9,39.3,43.6
331,comprehensive,mixed,9.3,42.8,1.6,45.7
332,comprehensive,mixed,14.3,48.2,2.6,46.5
333,comprehensive,mixed,9.2,45.9,8,49.6
334,comprehensive,mixed,23.2,47.6,27.8,48.8
335,comprehensive,boys,7.6,10.8,7.9,59.2
336,comprehensive,girls,10.4,99.5,24.6,51.8
337,comprehensive,mixed,13.4,52.4,7.5,46.7
338,comprehensive,mixed,7.4,48.3,2.5,46.3
339,comprehensive,mixed,3.7,49.8,2.2,60
340,comprehensive,mixed,6.8,46.9,1.6,47.8
341,comprehensive,mixed,8.1,47.3,12.7,49.7
342,comprehensive,boys,8.3,0.1,4.5,47.6
343,comprehensive,girls,7.1,100,8.3,53.1
344,comprehensive,mixed,5.6,46.8,1.9,55.9
345,comprehensive,mixed,9.1,44.3,4.7,52
346,comprehensive,mixed,8.2,49.5,8.4,51.6
347,comprehensive,boys,4.9,0,7.4,53.3
348,comprehensive,mixed,8.3,46.6,27.9,51.7
349,comprehensive,mixed,8.4,47.9,28.1,51.3
350,comprehensive,mixed,14.2,48.2,24.3,45.7
351,comprehensive,mixed,4.4,47.6,5.7,52.4
352,comprehensive,mixed,19.9,24.5,27.5,55.3
353,comprehensive,girls,18.8,96.1,20.3,52.9
354,comprehensive,mixed,5.1,51.3,3.6,57.2
355,comprehensive,boys,13.1,3.2,10.3,49.9
356,comprehensive,boys,3.5,12.5,3.3,58.3
357,comprehensive,girls,3.5,94.9,12.1,58.5
358,selective,girls,1.9,96.5,10.6,74.7
359,comprehensive,mixed,22.2,52.1,5.9,49.2
360,comprehensive,boys,5.4,2.5,6.2,55.6
361,comprehensive,mixed,14,42.4,10.1,49.9
362,selective,boys,1,17.7,23.7,75.2
363,comprehensive,mixed,29.3,35.5,53.6,48.9
364,comprehensive,mixed,7.1,50.6,9.5,53.9
365,comprehensive,mixed,18.3,63,5.1,50.9
366,comprehensive,girls,3.3,100,16.7,62.6
367,comprehensive,mixed,25.3,40.4,26.3,45.7
368,comprehensive,mixed,17.6,43.8,32.4,49.2
369,comprehensive,mixed,13.9,48.6,24,54.8
370,comprehensive,mixed,13.9,100,51.7,51.3
371,comprehensive,mixed,9.5,43.3,18,59.6
372,comprehensive,mixed,35.1,48,15.4,42.3
